Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,CasaMood,27054,27054,27054,zero,0.53,10.05,zero,,,,,,,
Cristiana Masi,CasaMood,27055,27055,27055,zero,0.53,10.05,zero,,,,,,,
Cristiana Masi,CasaMood,27056,27056,27056,zero,0.53,10.05,zero,,,,,,,
Cristiana Masi,CasaMood,27061,27061,27061,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/CasaMood/27061.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27062,27062,27062,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/CasaMood/27062.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27063,27063,27063,"13,3 straight",0.53,10.05,"13,3",Straight,,,/local-textures/CasaMood/27063.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27065,27065,27065,"2,7 straight",0.53,10.05,"2,7",Straight,,,/local-textures/CasaMood/27065.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27066,27066,27066,"2,7 straight",0.53,10.05,"2,7",Straight,,,/local-textures/CasaMood/27066.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27067,27067,27067,"2,7 straight",0.53,10.05,"2,7",Straight,,,/local-textures/CasaMood/27067.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27071,27071,27071,54 straight,0.53,10.05,54,Straight,,,/local-textures/CasaMood/27071.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27072,27072,27072,54 straight,0.53,10.05,54,Straight,,,/local-textures/CasaMood/27072.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27074,27074,27074,53 straight/zero,0.53,10.05,53,Straight/zero,,,/local-textures/CasaMood/27074.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27075,27075,27075,53 straight/zero,0.53,10.05,53,Straight/zero,,,/local-textures/CasaMood/27075.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27080,27080,27080,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27080.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27081,27081,27081,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27081.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27083,27083,27083,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27083.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27084,27084,27084,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27084.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27085,27085,27085,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27085.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27086,27086,27086,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27086.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27087,27087,27087,zero,0.53,10.05,zero,,,,/local-textures/CasaMood/27087.jpg,6260,6260,0.53
Cristiana Masi,CVLTO,4801,21127,21127,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21127.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4802,21108,21108,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21108.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4803,21184,21184,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21184.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4804,21179,21179,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21179.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4805,21133,21133,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21133.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4806,21173,21173,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21173.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4807,21172,21172,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21172.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4808,21152,21152,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21152.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4809,21101,21101,64 offset,0.53,10.05,64,Offset,64,Offset,/local-textures/CVLTO/21101.jpg,3543,4278,0.64
Cristiana Masi,CVLTO,4810,21189,21189,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21189.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4811,21150,21150,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21150.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4812,21112,21112,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight,/local-textures/CVLTO/21112.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4813,21161,21161,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21161.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4814,21128,21128,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21128.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4815,21178,21178,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21178.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4816,21134,21134,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21134.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4817,21174,21174,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CVLTO/21174.jpg,6260,6260,0.53
Cristiana Masi,CVLTO,4818,21114,21114,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight,/local-textures/CVLTO/21114.jpg,3543,3543,0.53
Cristiana Masi,CVLTO,4819,21164,21164,53 straight,0.53,10.05,53,Straight,53,Straight,/local-textures/CVLTO/21164.jpg,3543,3543,0.53
