Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,Friends & Coffee 2,4611,2159,2159,zero,0.53,10.1,zero,,,
Cristiana Masi,Friends & Coffee 2,4651,11026,11026,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4650,11027,11027,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4652,16670,16670,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4645,16671,16671,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4671,16672,16672,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4660,16673,16673,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4653,16675,16675,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4648,16676,16676,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4646,16677,16677,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4602,16680,16680,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4609,16681,16681,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4608,16682,16682,53 offset,0.53,10.1,53,Offset,53,Offset
