Collection_Name,Manufacturer_Collection_Name,S.No.,Item No.,Article,DESCRIPTION,Rolls,Rate,Amount,WEIGHT GRS/SMT,EAN CODE,GROSS WEIGHT KG/RX,NET WEIGHT KG./RX,BOX WEIGHT KG,DESIGN REPEAT cm,WIDTH m,LENGHT m,QUANTITY PER BOX,VOL/BOX mc,BOX TOT.WEIGHT kg,RESISTANCE TO LIGHT,WASHABILITY,REACTION TO FIRE,CERTIFICATIONS,EMISSIONS DANS L'AIR INTERIEUR,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Aura,Aura,47008.0,42223.0,42223,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422230.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47008.0,42223.0,42223,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422230.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47010.0,42224.0,42224,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422247.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47029.0,42226.0,42226,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422261.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47015.0,42228.0,42228,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422285.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47015.0,42228.0,42228,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422285.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47017.0,42229.0,42229,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422292.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47028.0,42231.0,42231,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422315.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47009.0,42233.0,42233,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422339.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47016.0,42234.0,42234,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422346.0,4.491,4.261,0.86,64 offset,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
Aura,Aura,47012.0,42244.0,42244,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422445.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
Aura,Aura,47038.0,42245.0,42245,AURA PVC/TNT,,29.0,0.0,400 gr,8022560422452.0,4.491,4.261,0.86,zero/53 straight,1.06,10.05,4.0,0.04,17.964,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,0.0,,53.0,Straight
