Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,Aura,47035,42265,42265,zero/53 straight,1.06,10.05,0,,53,Straight,/local-textures/Aura/42265.jpg,1772,886,0.53
Cristiana Masi,Aura,47031,42266,42266,zero/53 straight,1.06,10.05,0,,53,Straight,/local-textures/Aura/42266.jpg,1772,886,0.53
Cristiana Masi,Aura,47006,42272,42272,zero/53 straight,1.06,10.05,0,,53,Straight,/local-textures/Aura/42272.jpg,1772,886,0.53
Cristiana Masi,Aura,47006,42272,42272,zero/53 straight,1.06,10.05,0,,53,Straight,/local-textures/Aura/42272.jpg,1772,886,0.53
Cristiana Masi,Aura,47032,42275,42275,zero/53 straight,1.06,10.05,0,,53,Straight,/local-textures/Aura/42275.jpg,1772,886,0.53
Cristiana Masi,Botany House,44141,15501,15501,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15501.jpg,992,992,0.53
Cristiana Masi,Botany House,44106,15502,15502,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15502.jpg,992,992,0.53
Cristiana Masi,Botany House,44122,15503,15503,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15503.jpg,992,992,0.53
Cristiana Masi,Botany House,44144,15513,15513,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15513.jpg,992,992,0.53
Cristiana Masi,Botany House,44113,15514,15514,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15514.jpg,992,992,0.53
Cristiana Masi,Botany House,44101,15515,15515,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15515.jpg,992,992,0.53
Cristiana Masi,Botany House,44150,15516,15516,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15516.jpg,992,992,0.53
Cristiana Masi,Botany House,44111,15517,15517,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15517.jpg,992,992,0.53
Cristiana Masi,Botany House,44120,15518,15518,53 straight,0.53,10.05,53,Straight,,,/local-textures/Botany House/15518.jpg,992,992,0.53
